,title,video_id,channel_title,channel_id,description,date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,country
1447,대만방송 출연 외국인들 “한국인이 되고 싶어요”,FBRAlHW7itk,션데일리 리서치,UCysrr_s8OwoZioh8XMOJn_g,"작년 한 대만 TV에서 아시아 국가 순위 대결이라는 제목으로 프로그램을 제작했습니다. 여기에는 대만, 한국, 일본, 홍콩, 싱가폴, 말레이시아 등 아시아 각국 대표들이 ...",2021-01-22,445517.0,5473.0,367.0,0.0,1252.0,대만
1448,[해외반응] 일본반응 - &quot;한국에 언제까지 당하고 살것인가 ?!! 분하지만 제발정신차려라!!&quot; &#39;미국의 테슬라가 한국과 손잡아버린다!&#39;라는 소식이 들려오자 일본이 화들짝 놀라는이유,rtOLNZajfNo,세상통 해외반응,UCorzNmtkrbCgjF9kpP8werg,"[해외반응] 일본반응 - ""한국에 언제까지 당하고 살것인가? 분하지만 제발정신차려라"" '미국의 테슬라 가 한국!!과 손잡아버린다!'라는 소식이 들려오자 일본이 화들짝!",2021-01-26,3521.0,85.0,4.0,0.0,7.0,미국 일본
1449,[중국반응] [대만반응] 대만방송에서 보도하는 한국의 타이완 넘버원! 열풍....,gg6gYBaoXac,쉬는시간,UCChCGzA-yKpyDH7vSvBJoIA,타이완넘버원 #중국반응 #대만반응 중국인을 만나는 게임세상에서 언제나 따라다니는 외침! 타이완 넘버원~ 이 소식은 이미 2017년 대만뉴스에서 언급할 정도로 ...,2021-01-26,53088.0,566.0,45.0,0.0,115.0,중국 대만
1450,&quot;한국을 왜 싫어하라는 거야??&quot; 한국에서 일본회사로 간 외국인이 폭발한 이유 // &quot;우리앞에서 한국을 욕 하지 말아줘&quot; [해외반응],uRluMipRWZA,월드 댓글TV,UCM13V7yhj9sXqNwQm8xFtgQ,구독하기 : https://bit.ly/3mEfysc 한국에서 일본회사로 가게된 외국인의 분노하게되는 경험과 그에따른 다른 외국인들의 반응입니다. #해외반응 #외국인반응 #외국인 ...,2021-01-25,223059.0,6094.0,106.0,0.0,576.0,일본
1451,"[일본반응] 인텔마저 한국에 매달리자 자존심 박살난 일본 &quot;한국에 밉보이면 일본도 위험해, 앞으로 한국에게 충성해야 한다&quot;",wUCNRpcSEP4,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 인텔이 최근 삼성에게 반도체 생산을 맡긴다는 소식이 들려왔는데요, 일본인들이 이에 대해 질투 ...",2021-01-22,145755.0,4710.0,85.0,0.0,302.0,일본
1452,&quot;제발 한국과 일본을 비교하지마!!&quot; 외국인이 일본을 떠난 놀라운 이유 // &quot;한국의 지하세계는 경이로운 수준&quot; [외국인반응],FBqfEh7VMNI,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #해외반응#외국인#외국인반응.,2021-01-20,187740.0,5896.0,93.0,0.0,268.0,일본
1455,[아르헨티나반응] 세계가 주목하고 있는 한국의 K-30 비호복합 자주대공포,QLI5Qfljf_E,남미남자,UCKrXBdpehmqMtSeJBtugvjQ,관련영상* https://youtu.be/belnK6TtsSc.,2021-01-21,97438.0,2653.0,46.0,0.0,177.0,아르헨티나
1456,(일본반응) 한국 영공에 들어온일본 초계기 일촉즉발!! 충돌해 침몰시켜라...,OLFZEcjKnCw,"수달둥둥, 쉽게 알려주는 시사와 지식",UCCtPZ5X9N9gwnyW4eJT1pSg,일본해상보안청측량선 #우리해경과대치 #일본초계기 일본 해상보안청 측량선이 제주도 남단 해역에서 조사활동을 해 우리 해경과 64시간 동안 대치했었습니다.,2021-01-25,731.0,38.0,3.0,0.0,4.0,일본
1458,"(일본반응) 찍기만 하면 모든 것이 다 되는 한국 스마트폰, QR코드 문화에 칭찬하는 해외반응/외국인반응",XVUM8bGB-5I,타인의해석,UC9L_UjCR1TGSHRAHtb-yd6Q,한국인들에게 절대 없으면 안되는 스마트폰. 편리하면 빠르게 받아들이고 발전하는 한국 덕분에 선진국 못지 않게 4차산업이 더욱 발전하는 것 같습니다. ^^ 그에 대한 ...,2021-01-21,2210.0,52.0,4.0,0.0,3.0,일본
1459,한국집에 놀러온 외국인 친구들의 반응! 이탈리아 새댁이 웃음꽃이 핀 이유?,Gree2yB-17Y,에이 스토리 A STORY,UCudezj2i6R94QOPqGJhbZwg,외국인 #한국 #해외반응 외국인 친구들이 한국 집들이 왔을 때 놀란 이유는? 오늘은 이탈리아에서 오신 새댁 마르티님께서 외국인 친구들을 한국집으로 초대해 ...,2021-01-26,91199.0,3196.0,37.0,0.0,58.0,이탈리아
1460,[일본반응] 한국의 국민 총 소득이 최초로 G7국가 이탈리아를 앞서자 절대 인정 할 수 없다는 일본 네티즌 댓글반응 &quot;남의 불행이 너희나라 행복이냐?&quot;,Sa905RniGl8,영기자,UC1XQ2u5yvtk7i0FbmD6_3Ng,일본 #일본반응 #댓글반응 한국의 국민총소득(GNI)이 세계 7대 주요 국민총소득 나라인 이탈리아를 넘어섰는데요. 일본 네티즌들의 반응은 차가웠습니다.,2021-01-23,559.0,0.0,0.0,0.0,2.0,이탈리아 일본
1461,[중국반응] 현재 중국에서 한국연예인 인기순위는? 누가 1위일까?,1Y9YiCdWb-U,대륙알리미,UCRmobeTypJDIUy6vao9Nd8w,"이번 영상에서는 현재 중국에서 한국 연예인 인기순위를 알아보겠습니다. 폭풍인기를 자랑하고 있는 황인엽, 과연 1위는 누구일까요?",2021-01-26,27422.0,229.0,14.0,0.0,30.0,중국
1462,[일본반응] 경차 판매비율이 한국 5배되자 난리난 일본 &quot;일본인들은 너무 가난해서 결국 내수경제마저 한국에 완전히 추월당해버렸어&quot;,LbXI1uU29tc,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 오늘은 일본의 경차 판매비율이 지나치게 증가해서 일본의 내수시장이 붕괴하여, 일본인들이 ...",2021-01-20,89632.0,3115.0,65.0,0.0,406.0,일본
1465,[일본반응] 역사상 처음으로 한국의 시대가 도래했다는 한국의 국뽕이 싫은 일본인들 &quot; 분명 한국은 곧 무너진다고 했는데 왜 한국이 더 잘 나가는 거야?&quot;,HHmvcT6xq7s,소녀통신 • 조회수239만회,UCjDWkLPAXMbQB5wiwc-BytA,한국의 국뽕에 대한 일본 반응.,2021-01-21,120877.0,4686.0,94.0,0.0,591.0,일본
1467,"[일본반응] 삼성 최신폰 스마트폰에 일본 소재 배제, 한국으로 탈출하는 기업들이 줄을 잇자 일제 써달라 매달리는 일본인들 &quot;탈일본이 진짜로 시작된 느낌이야&quot;  삼성 해외반응 반응",gtGBY9ngU2U,와트맨,UCCMxAf6uEc0csVVdW1dkkxw,"[일본반응] 삼성 최신폰 스마트폰에 일본 소재 배제, 한국으로 탈출하는 기업들이 줄을 잇자 일제 써달라 매달리는 일본인들 ""탈일본이 진짜로 시작된 느낌이야"" 삼성 ...",2021-01-23,101706.0,2757.0,69.0,0.0,191.0,일본
1468,[일본반응] 한국이 디지털 경쟁력으로 일본을 누르자 막말하는 일본 네티즌 반응 &quot;디지털카메라 하나 못만드는 주제에&quot;,6DFIT6rAK5o,영기자,UC1XQ2u5yvtk7i0FbmD6_3Ng,"일본 #일본반응 #댓글반응 한국 디지털 경쟁력이 세계에서 8위, 일본이 27위를 기록하자 일본 네티즌들이 ""디지털 카메라 하나 못만드는 나라가 무슨 8위냐며"" ...",2021-01-23,276.0,0.0,0.0,0.0,0.0,일본
