,video_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1601,Pe2lJwpHBfE,197064,5321,81,0,902
1602,gIfB5BnAJQA,92506,2865,54,0,265
1603,emFZco37waw,90792,2562,92,0,130
1604,B_QhlMdBOKc,874321,10471,202,0,4040
1605,fBZXQJwz2fs,27116,486,14,0,44
1606,VzdKapeYE4I,517174,10150,179,0,569
1607,AbFbBZwyqig,177300,5841,82,0,556
1608,bNgv_s8PWqY,40839,0,0,0,54
1609,K28KFOK9p5k,179678,5134,114,0,840
1610,AuSWn7MtAIY,2043759,24679,1676,0,4961
1611,7d5KdF_spjg,169236,3757,132,0,1509
1612,96WpbjV4UNo,351044,9805,203,0,1173
1613,ZcJeZ1MHEqs,23596,879,18,0,62
1614,Hdc66STVJGw,1750,57,5,0,8
1615,nnteIrSJUps,25478,544,32,0,104
1616,xFw1YwfcaQE,10108,292,0,0,65
1617,BHx4hhYzbH4,46094,1202,24,0,123
1618,FhSwM6Sl6I8,7576,301,11,0,20
1619,YbJ-ZOnraKQ,4717,0,0,0,4
1620,LZV1cT59eqY,64188,2356,44,0,439
1621,3y7yz8G4Xic,29626,121,11,0,47
1622,pQqjN35RMBo,104523,3306,54,0,471
1623,UbLhYXxOKAc,886697,19881,257,0,679
1624,8VpV1I8GEOc,29989,946,14,0,52
1625,8a7WBbwc55M,50004,1310,66,0,118
1626,CQNJD9aDBBE,5744,144,4,0,11
1627,hFuKpW2zWi8,114268,2990,52,0,774
1628,3F-VeRyH4Ss,166558,3268,74,0,192
1629,yzEoA7rb7jI,234320,2812,161,0,819
1630,w7Wc10ZO_OU,318744,3660,35,0,438
1631,10uOcwBA3dw,5361,96,10,0,150
1632,VyLjMWm39Ys,48470,1258,29,0,487
1633,-zK1hqUqNM0,6786,168,13,0,31
1634,zhl9zxN58RM,21235,301,131,0,207
1635,6y_HxGGBEk4,3703,86,8,0,50
1636,SrrFsxsA8vE,312709,4714,98,0,180
1637,e50bUrw_4wc,423701,9677,133,0,388
1638,iXpHe6xYNZg,1877522,29618,1466,0,5674
1639,GjQ_89shz9Y,432168,8477,156,0,626
1640,RzT5nZOn32M,752897,21621,513,0,1127
1641,joL2kGRhUGc,205345,4323,68,0,260
1642,ce_jLBHh3HM,284995,4056,85,0,232
1643,1LEcsSXBfSo,85228,2639,32,0,180
1644,bdd4WTm5CRI,101151,808,40,0,136
1645,4ds4siSBzrs,442884,10665,261,0,518
1646,q7GhHXKovHs,191076,3603,63,0,447
1647,ahlaEknXrm4,268697,5472,90,0,346
1648,ym8FNpWCdZI,4888,69,8,0,19
1649,V-FNCB_5ce4,139220,3888,63,0,284
1650,uPuEEqoGsTY,233162,4296,115,0,1043
1651,MCsRz6rWJzM,56044,2333,29,0,176
1652,tmm7HHRDWAg,413066,8377,130,0,942
1653,V8h5DgAw7SM,116789,3305,56,0,296
1654,cLL4n64CH8U,15614,521,45,0,51
1655,ITMxe87QvHw,470985,9715,189,0,679
1656,dW0LXDdsDlw,165835,5345,48,0,298
1657,mpXOstZO-Dw,12747,290,29,0,13
1658,9AfhfaYXJaA,206292,4503,104,0,164
1659,ZEx751cbNPk,361690,2895,57,0,211
1660,NsCkQ2f59Pg,219858,4537,80,0,800
1661,9gjyTJ2iU9c,164237,4455,57,0,667
1662,JshBzb1eskk,27787,589,28,0,84
1663,dvZ2X7eXgqs,51443,1426,46,0,147
1664,yJfkk6LpRSc,85247,2927,46,0,279
1665,tYFY_8WfQ9A,176382,2621,110,0,221
1666,zseZ2OKKq30,18470,408,11,0,133
1667,xBqdY90GirY,120805,4298,54,0,297
1668,7dIb2VSOXFk,43296,1360,29,0,247
1669,n5mSS2kqlN8,114716,2485,40,0,64
1670,x7VaXL9Qfoo,220104,5476,133,0,893
1671,IDusGLbpZN8,10626,0,0,0,66
1672,IYHR3XOUM3Y,27196,1131,21,0,76
1673,R7dK2868dBU,8511,311,11,0,70
1674,WAzMcBJ8aR4,880614,8798,411,0,707
1675,U7WqEnUQSAw,33810,855,23,0,84
1676,r1kUpTQbkXU,263185,6093,186,0,362
1677,B9ZGigmIONo,810,28,1,0,3
1678,NzRRy-65l9I,2156,79,1,0,19
1679,vqmP-4baDrQ,78282,3118,61,0,969
1680,rMZq6PmzT1g,98156,1398,62,0,207
1681,DW0yuCxtXH8,7008,79,10,0,54
1682,AP__JyIlQ28,22025,1259,6,0,139
1683,9-5oByPMea0,845477,16275,454,0,919
1684,1-sMH8Ojg7I,494859,13542,319,0,1354
1685,hwOE8rd0lw4,187698,3108,92,0,484
1686,QiLx6FPT8yo,404021,6280,110,0,598
1687,-D8u2E40o-8,140900,2936,58,0,189
1688,kgBtalhMSiA,588219,9691,226,0,1036
1689,xoKr6nrTLLU,104019,2533,42,0,207
1690,SQXF3FkTb-A,120936,2186,46,0,406
1691,bZ_w6F3aktU,61041,2010,35,0,215
1692,TDH04ss5XXc,586823,8014,206,0,760
1693,cZaE2SpuIoo,807908,13982,323,0,796
1694,2xCySGtxE14,530183,9209,171,0,385
1695,aqqfzGHiJwk,92393,2539,42,0,113
1696,brO_GDY55EI,333809,9079,308,0,749
1697,hJe_tOp23HE,278019,2133,128,0,418
1698,piDwvIu2cUU,79931,1577,27,0,280
1699,aosgLyU24iI,685312,15441,157,0,949
1700,tj7jwQ7eN-4,94261,1734,41,0,73
1701,o18gP2flplw,70027,1186,26,0,97
1702,TdMBLw_eV40,55233,713,20,0,120
1703,tyf6b1qQIgI,326809,5326,160,0,534
1704,3M-hQmB5xOo,122366,4025,43,0,443
1705,aPaa1NTZ6QY,5960,79,5,0,19
1706,IrcSeipoxmc,81299,1580,37,0,113
1707,dxXgiSIqWN8,197767,4059,111,0,109
1708,SbqJOUm-cqY,365326,7597,177,0,290
1709,ImRdboBH2dE,103668,2730,56,0,186
1710,SBcticDiNOg,17930,468,9,0,41
1711,8cxnnbmqwRo,63845,1833,25,0,138
1712,setLBx8Hxug,3550,75,7,0,21
1713,BQC9ublcuFA,32334,1058,25,0,89
1714,7mT4I1A0e00,18438,471,20,0,45
1715,0qUlJSOnMYU,826672,9124,299,0,905
1716,8_euwJcpkHI,230799,2192,68,0,330
1717,3hqivDUeGDI,9374,322,6,0,42
1718,ajXKWt12NHI,91124,2343,59,0,285
1719,uMG16Kiw4WE,77569,1340,95,0,480
1720,iIkx0qEJrbM,1079076,18771,331,0,1106
1721,F91DTirwvis,128548,2486,64,0,248
1722,EQ3XkIA3Fys,131668,2823,73,0,303
1723,5UrTr3INfQM,23231,329,12,0,39
1724,UUVTmBEf-HI,222538,4718,115,0,245
1725,Jto--y2Dsok,269026,7131,249,0,946
1726,1R-dvsznUK0,90105,2489,64,0,422
1727,_Rvuc9vfoBI,134105,2318,93,0,225
1728,aF-c-p0s52Q,348813,5130,138,0,736
1729,lZJjPJU-SbI,165330,3250,60,0,376
